N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,8,13,87,40,97,886,0.446
100,500,8,48,85,8,176,738,0.388
100,500,8,77,87,40,97,998,0.417
100,500,8,81,85,8,176,768,0.363
100,500,8,13,87,40,154,1232,0.523
100,500,8,13,87,30,97,763,0.4
100,500,8,77,44,30,154,983,0.524
100,500,8,48,85,8,125,716,0.367
100,500,8,48,85,14,176,913,0.396
100,500,8,81,54,14,125,805,0.399
100,500,8,13,44,40,97,969,0.48
100,500,8,17,66,7,92,649,0.374
100,500,8,17,66,32,92,729,0.414
100,500,8,51,32,7,130,950,0.36
100,500,8,48,54,8,176,1049,0.38
100,500,8,51,66,32,92,774,0.412
100,500,8,17,66,32,130,795,0.521
100,500,8,19,38,26,143,941,0.537
100,500,8,17,32,32,92,744,0.513
100,500,8,66,38,26,143,1140,0.531
100,500,8,19,38,33,143,1172,0.652
100,500,8,66,55,33,133,1020,0.487
100,500,8,19,38,26,133,964,0.58
100,500,8,19,55,26,143,964,0.521
100,500,8,21,82,33,112,840,0.42
100,500,8,35,50,9,134,879,0.377
100,500,8,65,82,33,112,886,0.463
100,500,8,23,71,14,122,753,0.414
100,500,8,58,50,9,134,1036,0.384
100,500,8,21,82,33,101,896,0.403
100,500,8,46,71,14,122,715,0.368
100,500,8,65,90,39,101,1003,0.466
100,500,8,35,50,9,102,826,0.366
100,500,8,21,82,39,112,970,0.458
100,500,8,21,90,33,112,769,0.432
100,500,8,23,71,14,140,904,0.377
100,500,8,35,87,9,134,690,0.346
100,500,8,58,87,20,102,710,0.38
100,500,8,35,50,20,134,1055,0.435
100,500,8,23,57,14,122,740,0.409
100,500,8,89,83,36,130,927,0.481
100,500,8,26,83,36,130,1072,0.445
100,500,8,46,57,31,140,973,0.459
100,500,8,23,71,31,122,999,0.485
100,500,8,89,83,36,130,927,0.481
100,500,8,82,25,25,146,985,0.505
100,500,8,89,71,36,130,1026,0.467
100,500,8,13,25,25,146,734,0.722
100,500,8,26,71,24,130,842,0.406
100,500,8,89,83,24,130,786,0.394
100,500,8,82,25,25,111,821,0.425
100,500,8,82,25,25,146,985,0.505
100,500,8,54,63,32,166,1001,0.426
100,500,8,54,63,32,99,939,0.404
100,500,8,13,25,32,111,845,0.57
100,500,8,48,63,32,166,1140,0.433
100,500,8,48,16,7,99,894,0.349
100,500,8,82,25,32,146,1053,0.547
100,500,8,54,63,7,166,909,0.356
100,500,8,60,43,24,106,974,0.445
100,500,8,12,80,15,140,688,0.372
100,500,8,60,43,15,106,918,0.37
100,500,8,60,43,24,140,1058,0.459
100,500,8,81,85,12,100,645,0.333
100,500,8,12,43,24,106,690,0.506
100,500,8,80,88,12,102,626,0.366
100,500,8,54,16,32,166,1131,0.539
