"run_id","habitat_patches"
"1899773A.asc","5"
"1900835C.asc","14"
"1903408E.asc","13"
"1903860E.asc","2"
"1904459E.asc","6"
"1904708D.asc","13"
"1906364B.asc","2"
"1907434E.asc","15"
"1908465C.asc","6"
"1908975D.asc","2"
"190922A.asc","13"
"1909230B.asc","10"
"1909550D.asc","12"
"1911061C.asc","12"
"1912250E.asc","7"
"1912651A.asc","9"
"1915503C.asc","3"
"1916991E.asc","9"
"1917495D.asc","16"
"1917588B.asc","4"
"1919043E.asc","3"
"1923249A.asc","5"
"1923938E.asc","14"
"1926169E.asc","13"
"1926707B.asc","18"
"1928327C.asc","7"
"1931281B.asc","12"
"1931598B.asc","10"
"1932905E.asc","3"
"1934084C.asc","3"
"193659E.asc","2"
"1936708C.asc","6"
"1937150E.asc","2"
"1938635A.asc","12"
"1943609A.asc","13"
"1944221D.asc","2"
"194526C.asc","11"
"194527A.asc","2"
"1947698E.asc","3"
"1948829C.asc","9"
"1949943E.asc","12"
"1950256B.asc","2"
"1950335A.asc","6"
"1953909A.asc","5"
"1953963A.asc","7"
"1955551B.asc","2"
"1955647C.asc","9"
"1958629C.asc","13"
"195869D.asc","5"
"1959444D.asc","7"
"196061D.asc","5"
"1962104D.asc","4"
"1962570B.asc","14"
"1962897C.asc","8"
"1963647C.asc","7"
"1964387D.asc","8"
"1967069E.asc","13"
"1968321D.asc","15"
"1969341C.asc","3"
"1970460E.asc","13"
"1971536E.asc","9"
"1973261A.asc","12"
"1973417A.asc","12"
"1973966C.asc","11"
"1974655D.asc","5"
"1974734D.asc","12"
"1975244E.asc","11"
"197745E.asc","16"
"1978260A.asc","16"
"1984971A.asc","3"
"1986166C.asc","15"
"1986735E.asc","3"
"1986929E.asc","9"
"1989832C.asc","10"
"1989907D.asc","19"
"198992E.asc","5"
"1993588E.asc","8"
"1993992C.asc","4"
"1995256A.asc","5"
"199862B.asc","15"
"1999236A.asc","7"
"1999512C.asc","3"
"2001272A.asc","6"
"2001652A.asc","2"
"2003330E.asc","5"
"200411B.asc","4"
"2004709B.asc","5"
"2004901C.asc","16"
