N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,3,10,26,23,174,163,0.718
100,500,2,10,82,28,146,1141,0.426
100,500,3,10,19,23,174,99,0.788
100,500,2,10,77,9,177,798,0.402
100,500,6,10,77,18,140,595,0.422
100,500,5,10,25,41,155,1022,0.535
100,500,6,10,89,18,146,657,0.396
100,500,6,10,89,18,140,649,0.394
100,500,4,10,53,28,104,987,0.402
100,500,4,10,55,19,96,742,0.403
100,500,2,10,79,28,104,960,0.434
100,500,2,10,53,28,102,1040,0.475
100,500,2,10,53,28,104,1014,0.488
100,500,4,10,17,41,101,1186,0.421
100,500,4,10,54,33,100,969,0.412
100,500,4,10,35,19,99,926,0.416
100,500,1,10,24,33,167,2560,0.896
100,500,6,10,24,33,149,771,0.437
100,500,6,10,13,33,167,859,0.513
100,500,2,10,43,33,92,1078,0.463
100,500,6,10,24,33,167,830,0.486
100,500,2,10,79,33,155,1135,0.48
100,500,6,10,13,35,172,773,0.511
100,500,7,10,17,28,180,83,0.735
100,500,7,10,13,35,149,283,0.473
100,500,7,10,54,35,172,602,0.527
100,500,7,10,13,35,172,208,0.548
100,500,1,10,89,31,90,763,0.41
100,500,4,10,89,33,145,973,0.491
100,500,7,10,89,31,126,895,0.419
100,500,7,10,39,31,90,462,0.42
100,500,7,10,89,31,90,709,0.395
100,500,4,10,84,24,111,777,0.386
100,500,3,10,25,37,154,1027,0.901
100,500,5,10,84,24,152,733,0.443
100,500,5,10,18,24,111,546,0.463
100,500,5,10,84,24,111,641,0.417
100,500,2,10,66,28,168,1419,0.481
100,500,3,10,87,30,145,794,0.456
100,500,3,10,87,30,145,794,0.456
100,500,3,10,63,30,145,688,0.576
100,500,3,10,87,30,176,667,0.502
100,500,3,10,25,27,117,545,0.65
100,500,2,10,77,37,100,922,0.445
100,500,7,10,61,40,133,849,0.492
100,500,6,10,47,8,93,549,0.413
100,500,3,10,25,27,117,545,0.65
100,500,3,10,18,27,117,480,0.677
100,500,3,10,25,27,108,608,0.582
100,500,1,10,78,40,103,986,0.498
100,500,6,10,30,8,144,602,0.551
100,500,4,10,23,39,128,1601,0.445
100,500,3,10,63,13,122,405,0.422
100,500,3,10,23,39,128,1045,0.85
100,500,5,10,54,10,97,473,0.419
100,500,3,10,23,39,155,982,0.909
100,500,5,10,14,40,159,930,0.516
100,500,6,10,63,13,122,610,0.408
100,500,3,10,29,39,128,1007,0.837
100,500,6,10,63,13,108,695,0.396
100,500,4,10,54,10,97,604,0.377
100,500,6,10,54,13,122,590,0.429
100,500,4,10,54,10,178,616,0.596
100,500,2,10,69,20,151,978,0.499
100,500,4,10,31,10,97,671,0.495
100,500,3,10,10,21,92,363,0.601
100,500,4,10,69,20,151,834,0.41
100,500,4,10,69,20,105,798,0.383
100,500,6,10,28,40,107,942,0.444
100,500,4,10,30,20,151,1598,0.424
100,500,5,10,30,27,99,620,0.416
100,500,3,10,83,21,133,570,0.426
100,500,5,10,72,33,131,864,0.461
100,500,1,10,72,33,131,1241,0.531
100,500,1,10,72,33,135,1250,0.588
100,500,6,10,18,27,113,696,0.466
100,500,1,10,28,33,131,1939,0.802
100,500,6,10,78,27,153,651,0.432
100,500,6,10,81,40,96,847,0.426
100,500,6,10,78,27,153,651,0.432
100,500,6,10,78,27,179,758,0.422
100,500,6,10,45,27,153,656,0.448
100,500,1,10,26,32,92,1316,0.666
100,500,5,10,17,32,124,656,0.444
100,500,7,10,17,32,124,299,0.492
100,500,2,10,67,15,148,873,0.487
100,500,7,10,17,32,91,433,0.441
100,500,2,10,55,40,123,1548,0.537
100,500,5,10,42,11,142,386,0.451
100,500,4,10,67,15,148,692,0.423
100,500,7,10,13,32,124,322,0.494
100,500,4,10,67,15,162,802,0.42
100,500,4,10,42,11,142,757,0.503
100,500,6,10,58,16,158,640,0.445
100,500,4,10,42,11,131,817,0.481
100,500,4,10,30,15,148,1205,0.551
100,500,6,10,37,12,172,537,0.628
100,500,5,10,58,16,158,490,0.416
100,500,4,10,87,11,142,591,0.376
100,500,5,10,58,16,120,562,0.415
100,500,3,10,77,35,146,883,0.537
100,500,6,10,37,12,172,537,0.628
100,500,6,10,37,12,138,612,0.502
100,500,5,10,87,16,158,667,0.396
100,500,6,10,61,17,150,703,0.422
100,500,6,10,29,12,172,502,0.707
100,500,6,10,61,17,150,703,0.422
100,500,6,10,61,17,93,608,0.416
100,500,3,10,19,32,174,622,0.902
100,500,6,10,25,17,150,533,0.655
100,500,4,10,79,37,102,862,0.451
100,500,3,10,39,39,115,942,0.69
100,500,6,10,89,35,140,837,0.461
100,500,5,10,39,39,115,850,0.507
100,500,5,10,39,39,140,956,0.461
100,500,4,10,16,15,167,1558,0.71
100,500,6,10,16,15,167,494,0.816
100,500,5,10,80,39,115,893,0.454
100,500,5,10,41,14,118,497,0.396
100,500,6,10,16,15,152,590,0.786
100,500,4,10,41,14,118,929,0.446
100,500,6,10,18,8,121,484,0.667
100,500,1,10,18,8,121,829,0.505
100,500,6,10,50,15,167,615,0.468
100,500,4,10,41,14,126,840,0.495
100,500,1,10,18,8,147,814,0.603
100,500,3,10,19,17,118,247,0.603
100,500,4,10,86,14,118,685,0.374
100,500,5,10,19,17,118,327,0.578
100,500,1,10,85,8,121,636,0.381
100,500,1,10,13,39,149,2795,0.93
100,500,2,10,53,37,104,1117,0.511
100,500,5,10,19,17,166,300,0.607
100,500,5,10,48,17,118,512,0.461
100,500,2,10,14,20,131,1358,0.782
100,500,2,10,14,20,131,1358,0.782
100,500,2,10,14,20,169,1468,0.861
100,500,2,10,45,20,131,1167,0.557
100,500,6,10,54,35,149,943,0.434
100,500,6,10,24,39,167,1092,0.533
100,500,5,10,65,41,149,1078,0.515
100,500,1,10,39,24,126,1405,0.658
100,500,5,10,65,41,149,1078,0.515
100,500,5,10,65,41,152,895,0.508
100,500,5,10,76,41,149,1053,0.519
100,500,4,10,18,30,152,1885,0.406
100,500,7,10,13,35,172,208,0.548
100,500,3,10,35,40,133,1112,0.797
100,500,7,10,89,24,90,669,0.389
100,500,1,10,35,40,133,1933,0.796
100,500,3,10,69,40,133,1001,0.611
100,500,3,10,35,40,177,1172,0.881
100,500,3,10,63,33,176,700,0.62
100,500,5,10,84,30,111,852,0.426
100,500,4,10,29,37,171,1858,0.506
100,500,5,10,29,37,171,961,0.509
100,500,3,10,87,33,145,881,0.503
100,500,3,10,18,41,108,910,0.841
100,500,2,10,19,22,102,1104,0.632
100,500,4,10,40,37,171,1676,0.481
100,500,6,10,19,22,102,628,0.511
100,500,4,10,29,37,148,1662,0.489
100,500,2,10,52,22,102,925,0.501
100,500,2,10,19,22,154,1576,0.81
100,500,4,10,29,30,155,1539,0.431
100,500,3,10,85,35,93,800,0.445
100,500,6,10,85,35,93,844,0.431
100,500,4,10,53,6,114,613,0.396
100,500,6,10,53,6,114,547,0.463
100,500,3,10,69,35,93,777,0.481
100,500,4,10,63,6,114,530,0.377
100,500,3,10,25,41,117,1010,0.789
100,500,7,10,52,26,170,332,0.479
100,500,3,10,54,32,108,828,0.516
100,500,2,10,52,26,170,1393,0.589
100,500,3,10,85,35,138,1020,0.497
100,500,5,10,31,9,178,174,0.431
100,500,4,10,53,6,169,617,0.48
100,500,7,10,47,26,170,385,0.509
100,500,3,10,23,30,128,638,0.765
100,500,2,10,30,26,105,1167,0.59
100,500,7,10,52,26,111,548,0.412
100,500,5,10,28,12,135,329,0.465
