"","[run number]","matrix_permeability","perceptual_range","vision_angle","scenario","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"461",1,27,24,94,5,-741671208,499,511,0.432,461
"462",1,72,14,95,2,-741671208,499,710,0.387,462
"463",1,44,29,129,3,-741671208,499,603,0.61,463
"464",1,40,27,150,5,-741671208,499,752,0.424,464
"465",1,41,22,179,5,-741671208,499,463,0.449,465
"466",1,82,13,98,1,-741671208,499,689,0.403,466
"467",1,49,15,162,1,-741671208,499,1051,0.597,467
"468",1,51,6,150,2,-741671208,499,791,0.432,468
"469",1,89,38,105,5,-741671208,499,836,0.438,469
"470",1,39,40,153,5,-741671208,499,957,0.503,470
"471",1,30,34,98,2,-741671208,499,1360,0.52,471
"472",1,59,42,168,3,-741671208,499,1212,0.696,472
"473",1,89,28,172,5,-741671208,499,864,0.464,473
"474",1,42,23,99,3,-741671208,499,478,0.477,474
"475",1,44,33,95,3,-741671208,499,729,0.536,475
"476",1,24,18,114,4,-741671208,499,965,0.485,476
"477",1,31,18,144,5,-741671208,499,346,0.535,477
"478",1,87,11,174,3,-741671208,499,511,0.407,478
"479",1,43,33,176,3,-741671208,499,686,0.832,479
"480",1,75,26,144,4,-741671208,499,960,0.367,480
"481",1,24,12,164,4,-741671208,499,1232,0.692,481
"482",1,31,20,162,2,-741671208,499,1473,0.735,482
"483",1,78,37,171,6,-741671208,499,1214,0.484,483
"484",1,18,7,178,3,-741671208,499,80,0.688,484
